"id","nazwa","atak","zycie","koszt","opis"
"asterix","Asterix","3","3","4","Dwa uderzenia w tę samą kartę; ignoruje pierwsze obrażenia zwrotne."
"obelix","Obelix","5","5","5",""
"panoramix","Panoramix","1","3","3","Przy wejściu: +0/+2 swojej jednostce, która już leży na stole. Ten Panoramix jest chroniony, dopóki żyje wzmocniona jednostka i działa premia."
"falballa","Falballa","2","2","2","Atakując mężczyznę: +2 ataku. Atakowana przez mężczyznę: +2 warunkowego życia."
"dobromina","Dobromina","1","3","2","Jak Falballa; przeciw Asparanoixowi premia wynosi 4 zamiast 2."
"asparanoix","Asparanoix","1","4","3","Przy wejściu osłabia kartę rywala o -1/-1, -2/0 lub 0/-2, dopóki żyje."
"ahigienix","Ahigienix","1","4","3","Na początku tury rywala: 1 obrażenie każdej jego jednostce."
"automatix","Automatix","1","5","3",""
"geriatrix","Geriatrix","3","1","1","Umiera na końcu swojej tury, niezależnie od tego, czy atakował."
"kakofonix","Kakofonix","2","1","3","Przy wejściu blokuje atak obecnych wrogich jednostek do początku następnej własnej tury."
"dzik","Dzik","2","1","1",""
"gesi","Gęsi","1","2","1",""
