"id","nazwa","atak","zycie","koszt","opis"
"cezar","Juliusz Cezar","5","2","4","Chroniony przed atakami, dopóki kontrolujesz inną jednostkę niż Cezar."
"brutus","Brutus","3","2","3","Poświęć inną jednostkę ze swojego pola przed jej atakiem: trwałe +2/0, 0/+2 albo +1/+1."
"legionista","Legionista","1","1","1",""
"katapulta","Rzymska katapulta","6","2","4",""
"antywirus","Antywirus","2","2","3","Przy wejściu wystawia dowolną liczbę Legionistów z ręki za darmo."
"zolw","Formacja żółwia","0","4","2",""
"zapchlenius","Zapchlenius","3","1","2",""
"popus","Gajusz Popus","1","3","2",""
"pieknus","Gajusz Pięknus","2","4","3",""
"tester_luster","Tester Luster","0","2","1",""
"kalimatis","Kalimatis","3","2","4","Przy wejściu podejrzyj dwie losowe karty ręki rywala albo ukradnij jedną losową."
"ceplus","Gajusz Ceplus","4","2","2","Może atakować od następnej własnej tury."
"lew","Lew","2","2","1","Może atakować od następnej własnej tury."
"koloseum","Koloseum","0","5","4","Za 2 energii schowaj własną jednostkę inną niż Koloseum; nie atakuje i jest chroniona przed atakami. Wyjście darmowe."
